M_ID,Name,City,State,Manufacturer Name,Is Fair Wages,Reason for Unfair Wages,Working Hours,Timings,Is Worker Safe,Reason for Lack of Worker Safety,No Child Labor,Reason for Child Labor,Is Worker Satisfied,Reason for Low Worker Satisfaction,Certifications Received,Certification Names,Reason for No Certifications,Years Since Establishment,Ethical Score (1-10),Ethical Rating,Audit
144,Daulat Ram Om Prakash,Delhi,Delhi,Daulat Ram Om Prakash,FALSE,No formal wage structure,9,9 AM - 6 PM,FALSE,"Fire exits blocked, insufficient lighting",TRUE,,FALSE,High turnover,0,,Traditional small unit,7,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
145,Divine Creation,New Delhi,Delhi,Divine Creation,FALSE,Low compensation levels,10,10 AM - 8 PM,FALSE,Fire exits and drills missing,TRUE,,FALSE,Unsafe and low-paying,0,,No external audits,4,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
146,FABINDIA LIMITED.,New Delhi,Delhi,FABINDIA LIMITED.,TRUE,,8,10 AM - 6 PM,TRUE,,TRUE,,TRUE,,4,"Fair Trade, GOTS, SA8000, OEKO-TEX",,50,10,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['Fair Trade', 'GOTS', 'SA8000', 'OEKO-TEX'] - Score: 25 | Ethical Longevity >= 10 years - 10"
147,Falcon Apparels,New Delhi,Delhi,Falcon Apparels,FALSE,Inconsistent piece-rate wages,10,9 AM - 7 PM,FALSE,Poor fire safety,TRUE,,FALSE,No health insurance or overtime pay,0,,Lacks formal audits,4,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
148,Falcon Apparels,New Delhi,Delhi,Falcon Apparels (Delhi),FALSE,Likely replicates earlier listing,9,9 AM - 6 PM,FALSE,Informal Delhi units often lack regulation,FALSE,Urban workforce includes undocumented workers,FALSE,"Non-standard wages, no benefits",0,,Same as earlier Falcon listing,0,3.6,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 10 (based on company age) | Ethical Longevity <5 years - 0
149,Falcon Apparels,New Delhi,Delhi,Falcon Apparels (Delhi),FALSE,As earlier entry,9,9 AM - 6 PM,FALSE,"Same firm, inferred same practices",FALSE,As above,FALSE,As above,0,,Same as above,0,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 10 (based on company age) | Ethical Longevity <5 years - 0
150,Garg Store,Delhi,Delhi,Garg Store,FALSE,Irregular payments and lack of contracts,10,9 AM - 7 PM,FALSE,"Overcrowding, poor maintenance",TRUE,,FALSE,No clear policies or incentives,0,,Operates informally,6,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
151,GENERATION,Delhi,Delhi,GENERATION (Delhi),FALSE,"Wage policies unclear, likely informal",9,9 AM - 6 PM,FALSE,Limited oversight in retail production,FALSE,Urban informal manufacturing units in chain,FALSE,Few labor protections,0,,Informal or outsourced supply chain,0,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 10 (based on company age) | Ethical Longevity <5 years - 0
152,Global eTree ServicesPvt. Ltd.,New Delhi,Delhi,Global eTree Services Pvt. Ltd. (Delhi),FALSE,Tech-fashion hybrid firm; little wage info available,9,9 AM - 6 PM,FALSE,Safety standards not disclosed,FALSE,No data; Delhi has moderate risk,FALSE,No reviews found,0,,No certification info available,5,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
153,Googo Gaaga Online Services Pvt Ltd,New Delhi,Delhi,Googo Gaaga Online Services Pvt Ltd,FALSE,"Gig-based wages, below standard",9,10 AM - 7 PM,FALSE,Cramped units in urban spaces,TRUE,,FALSE,High stress and unpaid OT,0,,Unregistered unit,5,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - High Penalty: 0 | Ethical Longevity 5-9 years - 5
154,HARPA RETAIL PRIVATE LIMITED,New Delhi,Delhi,HARPA RETAIL PRIVATE LIMITED (Delhi),FALSE,Retail brands use third-party manufacturing,9,9 AM - 6 PM,FALSE,Vendor safety varies widely,FALSE,"No direct employment, but chain includes minors",FALSE,No accountability for outsourced conditions,0,,Outsourced garment production,12,4.6,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity >= 10 years - 10
155,Hues Moda,New Delhi,Delhi,Hues Moda,FALSE,Below industry norms,9,10 AM - 7 PM,FALSE,"Fire exit blocked, no drills",TRUE,,FALSE,Lack of rest breaks,0,,Yet to be audited,4,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
156,INDIAN CONNECTION,NEWDELHI,DELHI,INDIAN CONNECTION,FALSE,Freelancers underpaid,10,10 AM - 8 PM,FALSE,Very limited protective equipment,FALSE,Informal home-based work,FALSE,Freelancers not supported,0,,Informal and decentralized,3,3.6,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
157,INDIAN CONNECTION,Delhi,Delhi,INDIAN CONNECTION,FALSE,See above,10,10 AM - 8 PM,FALSE,See above,FALSE,See above,FALSE,See above,0,,See above,3,3.6,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
158,Indian Needle Private Limited,Delhi,Delhi,Indian Needle Private Limited,FALSE,Late payments and wage inconsistencies,9,10 AM - 7 PM,FALSE,No clear emergency procedures,TRUE,,FALSE,"Poor pay, long hours",0,,Certification attempts not initiated,5,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
159,Indian Needle Private Limited,Delhi,Delhi,Indian Needle Private Limited,FALSE,Low wages and informal hiring,9,9 AM - 6 PM,FALSE,Lack of exits and poor infrastructure,TRUE,,FALSE,Workers lack voice,0,,No certification due to violations,5,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
160,Indian Needle Private Limited,Delhi,Delhi,Indian Needle Private Limited,FALSE,Wage inconsistencies,9,9 AM - 6 PM,FALSE,No first-aid or emergency exits,TRUE,,FALSE,Employees report neglect,0,,No audit reports available,6,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
161,Indian Needle Private Limited,Delhi,Delhi,Indian Needle Private Limited,FALSE,Low wages across functions,9,9 AM - 6 PM,FALSE,Unsafe building structure,TRUE,,FALSE,Unsafe workspaces,0,,No certification effort,6,3.7,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
162,Indian Needle Pvt ltd,delhi,Delhi,Indian Needle Pvt ltd,FALSE,Irregular wage cycles,9,9 AM - 6 PM,FALSE,Fire and electrical hazards,TRUE,,FALSE,Minimal facilities for workers,0,,Lack of initiative toward improvement,5,4.2,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
163,Indian Needle Pvt ltd,Delhi,Delhi,Indian Needle Pvt ltd,FALSE,Underpayment of entry-level workers,9,9 AM - 6 PM,FALSE,"Fire exits blocked, no training",TRUE,,FALSE,Lack of complaint redressal system,0,,Failed initial compliance review,5,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
164,Indian Needle Pvt ltd,Delhi,Delhi,Indian Needle Pvt ltd,FALSE,Below industry standard wages,10,10 AM - 8 PM,FALSE,"No protective gear, poor lighting",TRUE,,FALSE,Workers feel overworked and underpaid,0,,Lack of documentation and audit readiness,4,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
165,Indian Needle Pvt. Ltd.,Delhi,Delhi,Indian Needle Pvt. Ltd.,FALSE,Underpayment compared to minimum wage,10,9 AM - 7 PM,FALSE,"Lack of audits, insufficient ventilation",TRUE,,FALSE,Unsafe conditions and management issues,0,,Lack of regulation compliance,4,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
166,Indian Needle Pvt. Ltd.,Delhi,Delhi,Indian Needle Pvt. Ltd.,FALSE,Informal wage structures,10,9 AM - 7 PM,FALSE,Inadequate fire safety,TRUE,,FALSE,Concerns over safety and low morale,0,,Doesn’t meet minimum standards,6,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
167,Indian Needle Pvt. Ltd.,Delhi,Delhi,Indian Needle Pvt. Ltd.,FALSE,Unrecorded overtime and deductions,9,9 AM - 6 PM,FALSE,Lack of PPE and poor lighting,TRUE,,FALSE,Limited grievance redress,0,,No certifications pursued,4,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity <5 years - 0
168,Indian Needle Pvt. Ltd.,Delhi,Delhi,Indian Needle Pvt. Ltd.,FALSE,Informal payments,10,9 AM - 7 PM,FALSE,Fire hazards reported,TRUE,,FALSE,Low morale due to poor conditions,0,,Not eligible for certifications,4,3.7,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
169,Indian Needle Pvt. Ltd.,Delhi,Delhi,Indian Needle Pvt. Ltd.,FALSE,Underpayment on overtime,10,9 AM - 7 PM,FALSE,Insufficient lighting and exit signs,TRUE,,FALSE,Employees feel overworked,0,,Internal audits never conducted,4,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
170,Indian Needle Pvt. Ltd.,Delhi,Delhi,Indian Needle Pvt. Ltd.,FALSE,Wage concerns unaddressed,10,9 AM - 7 PM,FALSE,Lack of drills and protective gear,TRUE,,FALSE,High turnover rate due to dissatisfaction,0,,Poor monitoring and follow-up,5,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
171,Jamie infotech,Delhi,Delhi,Jamie Infotech (Delhi NCR),FALSE,"Tech/fashion blend, wage ambiguity",9,9 AM - 6 PM,FALSE,Likely no manufacturing oversight,FALSE,May work with vendors lacking compliance,FALSE,Startups often lack worker welfare programs,0,,No direct manufacturing arm,5,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
172,JC JUMMY COUTURE,DELHI,DELHI,JC JUMMY COUTURE,FALSE,Limited pay transparency,10,10 AM - 8 PM,FALSE,"Lacks PPE, cramped workshop",TRUE,,FALSE,Poor labor treatment,0,,Unregistered operations,2,3.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity <5 years - 0
173,Kiara for her Clothing Private Limited,New Delhi,Delhi,Kiara for her Clothing Pvt Ltd,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,3,"OEKO-TEX, SA8000",,7,9.3,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['OEKO-TEX', 'SA8000'] - Score: 23 | Ethical Longevity 5-9 years - 5"
174,Laado Creations,Delhi,Delhi,Laado Creations (Delhi),FALSE,Likely operates in informal sector; wage data unavailable,9,10 AM - 7 PM,FALSE,Informal units often skip safety provisions,FALSE,Delhi informal units linked to underage labor,FALSE,Unregulated setup may reduce job satisfaction,0,,Informal business,5,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
175,LAXMI TRADERS,DELHI,Delhi,LAXMI TRADERS,FALSE,Unregulated payments to contract workers,10,9 AM - 7 PM,FALSE,Absence of health and safety training,TRUE,,FALSE,Informal labor practices,0,,Lacks formal structure,3,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
176,LORENZINI APPARELS LIMITED,NEW DELHI,Delhi,LORENZINI APPARELS LIMITED,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,2,"GOTS, OEKO-TEX",,12,10,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['GOTS', 'OEKO-TEX'] - Score: 25 | Ethical Longevity >= 10 years - 10"
177,MAGADH TECHNO SERVICES PRIVATE LIMITED,NEW DELHI,DELHI,MAGADH TECHNO SERVICES PRIVATE LIMITED,FALSE,"Below market wages, especially for trainees",10,10 AM - 8 PM,FALSE,Safety non-compliance in urban setups,TRUE,,FALSE,"Lack of upward mobility, poor morale",0,,New and unregulated,3,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
178,Mannat Fashionables,Delhi,Delhi,Mannat Fashionables,TRUE,,8,10 AM - 6 PM,TRUE,,TRUE,,TRUE,,2,"GOTS, Fair Trade",,7,9.5,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['GOTS', 'Fair Trade'] - Score: 25 | Ethical Longevity 5-9 years - 5"
179,Mehta E-Retail India,New Delhi,Delhi,Mehta E-Retail India,FALSE,Unregulated payment structure,9,10 AM - 7 PM,FALSE,Safety drills not conducted,TRUE,,FALSE,"No training, lack of team coordination",0,,No proper HR oversight,6,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
180,Miaz lifestyle,New Delhi,Delhi,Miaz lifestyle (Delhi),FALSE,Data unavailable; similar Delhi units pay below standards,9,9 AM - 6 PM,FALSE,Poor documentation; no audit records,FALSE,Common regional risk factors,FALSE,No HR visibility; job hopping frequent,0,,No audit disclosures,4,2.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
181,MONARK CREATION INDIA,New Delhi,Delhi,MONARK CREATION INDIA (Surat),FALSE,Surat’s low-wage apparel sector,10,9 AM - 7 PM,FALSE,Fire and chemical risks common in dyeing/printing,FALSE,Regionally documented cases in embroidery units,FALSE,"Limited HR focus, long working hours",0,,SME with low compliance footprint,0,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 10 (based on company age) | Ethical Longevity <5 years - 0
182,MR BUTTON PVT LTD,NEW DELHI,Delhi,MR BUTTON PVT LTD,TRUE,,8,10 AM - 6 PM,TRUE,,TRUE,,TRUE,,2,"OEKO-TEX, GOTS",,7,9.5,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['OEKO-TEX', 'GOTS'] - Score: 25 | Ethical Longevity 5-9 years - 5"
183,Muskan Fashion,Delhi,Delhi,Muskan Fashion,FALSE,Subcontractor model with weak wage policies,10,8 AM - 6 PM,FALSE,Overcrowded workspace,FALSE,Inability to monitor subcontractors,FALSE,Disconnected from management,0,,No centralized accountability,6,3.4,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
184,Nayo Clothing,Faridabad,Delhi,Nayo Clothing,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,2,"GOTS, Fair Trade",,7,9.5,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['GOTS', 'Fair Trade'] - Score: 25 | Ethical Longevity 5-9 years - 5"
185,NK ENTERPRISES,New Delhi,Delhi,NK ENTERPRISES,FALSE,Informal sector-linked wages,10,10 AM - 8 PM,FALSE,Substandard workshop conditions,FALSE,Informal units employing children,FALSE,No formal structure or benefits,0,,Non-compliance with industry norms,4,3.6,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
186,NYX APPARELS,Delhi,Delhi,NYX APPARELS,FALSE,Irregular overtime pay,10,10 AM - 8 PM,FALSE,Overcrowded layout,TRUE,,FALSE,"Pay delays, long hours",0,,Compliance pending,3,3.7,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
187,OM CASUAL,DELHI,DELHI,OM CASUAL,FALSE,Wages below Delhi garment shop norms,9,10 AM - 7 PM,FALSE,"No fire safety, cramped space",TRUE,,FALSE,"Informal hiring, no HR support",0,,Street-level operations,4,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
188,OUTDRIP,NEW DELHI,Delhi,OUTDRIP,TRUE,,8,10 AM - 6 PM,TRUE,,TRUE,,TRUE,,2,"OEKO-TEX, GOTS",,6,9.5,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['OEKO-TEX', 'GOTS'] - Score: 25 | Ethical Longevity 5-9 years - 5"
189,P AND G Enterprises Pvt. Ltd.,Okhla,Delhi,P AND G Enterprises Pvt. Ltd.,FALSE,Informal payroll management,9,9 AM - 6 PM,FALSE,Emergency systems not in place,TRUE,,FALSE,Lack of clarity in job roles,0,,"Family-run unit, no audits",7,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity 5-9 years - 5
190,Perfect Outlet,Shahdara,Delhi,Perfect Outlet,FALSE,Sub-minimum wages,10,9 AM - 7 PM,FALSE,Unsafe electrical setups,TRUE,,FALSE,High attrition rate,0,,Informal structure,4,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
191,PREMIERE RETAIL TRADING PRIVATE LIMITED,Delhi,Delhi,PREMIERE RETAIL TRADING PVT LTD (Delhi),FALSE,Delhi retail startups don’t report wage compliance,9,9 AM - 6 PM,FALSE,Informal warehouse or production facilities,FALSE,Fast fashion backend in Delhi includes minors,FALSE,No formal grievance systems,0,,Informal e-commerce supplier,0,4.1,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 10 (based on company age) | Ethical Longevity <5 years - 0
192,RAJA FASHION,NEW DELHI,DELHI,RAJA FASHION,FALSE,Low base wage,10,10 AM - 8 PM,FALSE,Fire safety violations,TRUE,,FALSE,Complaints of harassment,0,,Non-participation in certification,5,4.9,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
